date,home_team,away_team,winner,first_shooter,tournament
1990-06-25,Republic of Ireland,Romania,Republic of Ireland,Romania,FIFA World Cup
1990-06-30,Yugoslavia,Argentina,Argentina,Argentina,FIFA World Cup
1990-07-03,Italy,Argentina,Argentina,Italy,FIFA World Cup
1990-07-04,Germany,England,Germany,England,FIFA World Cup
1992-06-22,Netherlands,Denmark,Denmark,Netherlands,UEFA Euro
1994-07-05,Mexico,Bulgaria,Bulgaria,Mexico,FIFA World Cup
1994-07-10,Romania,Sweden,Sweden,Sweden,FIFA World Cup
1994-07-17,Brazil,Italy,Brazil,Italy,FIFA World Cup
1996-06-22,England,Spain,England,England,UEFA Euro
1996-06-22,France,Netherlands,France,Netherlands,UEFA Euro
1996-06-26,France,Czech Republic,Czech Republic,France,UEFA Euro
1996-06-26,England,Germany,Germany,England,UEFA Euro
1998-06-30,Argentina,England,Argentina,Argentina,FIFA World Cup
1998-07-03,France,Italy,France,France,FIFA World Cup
1998-07-07,Brazil,Netherlands,Brazil,Brazil,FIFA World Cup
2000-06-29,Netherlands,Italy,Italy,Italy,UEFA Euro
2002-06-16,Spain,Republic of Ireland,Spain,Republic of Ireland,FIFA World Cup
2002-06-22,South Korea,Spain,South Korea,South Korea,FIFA World Cup
2004-06-24,Portugal,England,Portugal,England,UEFA Euro
2004-06-26,Sweden,Netherlands,Netherlands,Sweden,UEFA Euro
2006-06-26,Switzerland,Ukraine,Ukraine,Ukraine,FIFA World Cup
2006-06-30,Germany,Argentina,Germany,Germany,FIFA World Cup
2006-07-01,England,Portugal,Portugal,Portugal,FIFA World Cup
2006-07-09,Italy,France,Italy,Italy,FIFA World Cup
2008-06-20,Croatia,Turkey,Turkey,Croatia,UEFA Euro
2008-06-22,Spain,Italy,Spain,Spain,UEFA Euro
2010-06-29,Paraguay,Japan,Paraguay,Paraguay,FIFA World Cup
2010-07-02,Uruguay,Ghana,Uruguay,Uruguay,FIFA World Cup
2012-06-24,England,Italy,Italy,Italy,UEFA Euro
2012-06-27,Portugal,Spain,Spain,Spain,UEFA Euro
2014-06-28,Brazil,Chile,Brazil,Brazil,FIFA World Cup
2014-06-29,Costa Rica,Greece,Costa Rica,Costa Rica,FIFA World Cup
2014-07-05,Netherlands,Costa Rica,Netherlands,Costa Rica,FIFA World Cup
2014-07-09,Netherlands,Argentina,Argentina,Netherlands,FIFA World Cup
2016-06-25,Switzerland,Poland,Poland,Switzerland,UEFA Euro
2016-06-30,Poland,Portugal,Portugal,Portugal,UEFA Euro
2016-07-02,Germany,Italy,Germany,Italy,UEFA Euro
2018-07-01,Russia,Spain,Russia,Spain,FIFA World Cup
2018-07-01,Croatia,Denmark,Croatia,Denmark,FIFA World Cup
2018-07-03,Colombia,England,England,Colombia,FIFA World Cup
2018-07-07,Russia,Croatia,Croatia,Russia,FIFA World Cup
2021-06-28,France,Switzerland,Switzerland,Switzerland,UEFA Euro
2021-07-02,Switzerland,Spain,Spain,Spain,UEFA Euro
2021-07-06,Italy,Spain,Italy,Italy,UEFA Euro
2021-07-11,England,Italy,Italy,Italy,UEFA Euro
2022-12-05,Japan,Croatia,Croatia,Japan,FIFA World Cup
2022-12-06,Morocco,Spain,Morocco,Morocco,FIFA World Cup
2022-12-09,Croatia,Brazil,Croatia,Croatia,FIFA World Cup
2022-12-09,Netherlands,Argentina,Argentina,Netherlands,FIFA World Cup
2022-12-18,Argentina,France,Argentina,France,FIFA World Cup
